Descrip.	Na2O  	MgO   	P2O5  	SiO2  	Al2O3 	K2O   	CaO   	TiO2  	FeO   	MnO   	Total	Na2O+K2O
HUD110-2 gl trans 4     4.050	5.318	0.952	49.827	12.842	0.939	9.277	2.868	13.726	0.202	100	4.989
HUD110-2 gl tachy 3     4.369	4.773	0.807	50.471	13.861	1.080	9.032	2.319	13.068	0.219	100	5.450
HUD110-2 trans 1a	3.711	5.024	1.086	50.935	13.569	1.552	8.142	2.779	12.916	0.287	100	5.263
HUD110-2 trans 2a	3.832	4.823	0.989	51.151	14.708	1.403	8.170	2.454	12.297	0.173	100	5.234
HUD110-2 gl trans 3b    3.783	5.216	0.880	51.197	13.582	1.224	8.512	2.459	12.864	0.283	100	5.007
HUD110-2 gl trans-1	4.409	4.780	0.850	51.255	14.659	1.315	8.069	2.224	12.291	0.146	100	5.724
HUD110-1 gl trans-5a    4.072	4.408	0.831	51.360	14.282	1.269	8.037	2.489	13.054	0.199	100	5.341
HUD110-2 trans 2c	3.921	4.750	1.029	51.407	14.410	1.396	8.367	2.456	12.089	0.175	100	5.317
HUD110-2 trans 3b	3.868	4.527	1.005	51.407	15.242	1.461	8.300	2.464	11.529	0.197	100	5.329
HUD110-1 trans 4c	3.949	4.397	0.914	51.460	15.618	1.302	8.602	2.334	11.268	0.156	100	5.251
HUD110-3 gl trans 2b    4.089	4.817	0.924	51.501	14.321	0.984	8.948	2.458	11.712	0.245	100	5.073
HUD110-1 trans 2c	3.660	4.743	1.057	51.543	14.821	1.445	8.322	2.475	11.696	0.238	100	5.106
HUD110-2 gl trans 2	4.161	4.909	0.837	51.597	14.184	1.436	8.050	2.517	12.154	0.154	100	5.597
HUD110-2 trans 1c	4.065	4.817	1.011	51.658	14.211	1.487	7.864	2.546	12.094	0.247	100	5.552
HUD110-2 gl trans 6e   	4.086	4.915	0.804	51.753	14.340	1.220	8.269	2.202	12.196	0.216	100	5.306
HUD110-1 trans 4b 	3.978	4.405	0.932	51.758	15.613	1.302	8.281	2.295	11.262	0.174	100	5.280
HUD110-3 gl trans 4a    4.452	4.702	0.727	51.768	15.061	1.404	7.991	2.283	11.481	0.130	100	5.856
HUD110-2 gl trans 2b    4.318	4.813	0.794	51.780	14.570	1.282	7.936	2.268	12.016	0.223	100	5.600
HUD110-1 trans 2a	3.967	4.618	0.987	51.788	14.997	1.200	8.193	2.419	11.638	0.192	100	5.168
HUD110-2 trans 2b	3.847	4.648	0.954	51.801	14.760	1.417	7.979	2.455	11.901	0.239	100	5.263
HUD110-1 trans 4a 	3.853	4.569	0.940	51.812	15.183	1.289	8.355	2.357	11.466	0.177	100	5.142
HUD110-2 trans 1b	4.022	4.781	0.995	51.883	14.476	1.330	8.202	2.438	11.632	0.241	100	5.352
HUD110-3 gl tachy 5b    4.232	4.454	0.904	51.923	14.701	1.499	7.953	2.471	11.599	0.264	100	5.731
HUD110-1 trans 3a	3.407	4.803	0.938	51.935	14.663	1.469	8.269	2.411	11.945	0.160	100	4.876
HUD110-1 trans 3b	3.464	4.803	0.994	51.948	14.607	1.472	8.240	2.453	11.786	0.234	100	4.936
HUD110-2 gl tachy 1d    3.983	4.802	0.818	51.960	14.468	1.224	8.915	2.336	11.363	0.130	100	5.207
HUD110-2 gl trans-1c	3.896	4.630	0.892	51.978	13.824	1.563	8.192	2.478	12.396	0.151	100	5.460
HUD110-1 trans 2b	3.409	4.715	1.027	52.003	14.635	1.495	8.178	2.404	11.971	0.163	100	4.905
HUD110-1 trans 5c 	3.323	4.532	0.978	52.034	15.083	1.430	8.416	2.390	11.590	0.223	100	4.754
HUD110-3 gl trans 2c   	4.276	4.421	0.715	52.050	15.267	1.198	8.422	2.355	11.114	0.183	100	5.474
HUD110-2 gl trans 2a    4.135	4.902	0.881	52.144	14.105	1.423	7.883	2.266	12.082	0.179	100	5.558
HUD110-3 gl tachy 6b	4.326	3.965	1.009	52.210	14.092	1.602	8.036	2.730	11.747	0.282	100	5.929
HUD110-3 gl tachy 5a    3.996	4.579	0.905	52.212	14.455	1.458	8.000	2.487	11.692	0.217	100	5.454
HUD110-1 gl trans-4d    4.398	4.458	0.652	52.229	15.155	1.329	8.008	2.187	11.336	0.248	100	5.727
HUD110-1 gl trans-2b    3.727	4.778	0.747	52.236	14.478	1.341	8.200	2.240	12.142	0.111	100	5.068
HUD110-2 gl tachy 1a    4.284	4.436	0.734	52.239	15.494	1.001	8.214	2.310	11.182	0.105	100	5.286
HUD110-1 trans 5a 	3.380	4.575	0.919	52.244	14.946	1.481	8.198	2.398	11.616	0.244	100	4.861
HUD110-2 trans 3c	4.069	4.024	0.953	52.270	15.822	0.977	8.925	2.256	10.518	0.185	100	5.047
HUD110-1 trans 1a	3.871	3.908	1.035	52.277	14.388	1.530	7.767	2.690	12.284	0.251	100	5.401
HUD110-1 gl trans-3a    4.638	4.401	0.667	52.282	15.576	1.290	8.227	2.198	10.505	0.215	100	5.929
HUD110-1 trans 1c	3.724	3.911	1.092	52.304	14.019	1.553	8.146	2.707	12.311	0.233	100	5.277
HUD110-1 gl trans-3e	4.015	4.352	0.630	52.319	15.821	1.281	8.179	2.234	10.948	0.222	100	5.296
HUD110-2 gl trans 6c	3.975	4.590	0.765	52.325	14.821	1.378	8.178	2.365	11.387	0.216	100	5.353
HUD110-1 gl trans-3f	4.246	4.100	0.653	52.337	16.120	1.135	8.395	2.098	10.687	0.230	100	5.381
HUD110-3 gl trans 4b	4.057	4.275	0.770	52.342	15.619	1.310	8.382	2.154	10.911	0.180	100	5.367
HUD110-1 gl trans-2c	3.606	4.739	0.868	52.363	14.380	1.382	8.287	2.363	11.907	0.105	100	4.988
HUD110-1 trans 3c	3.369	4.628	0.998	52.369	14.927	1.435	8.162	2.362	11.534	0.216	100	4.805
HUD110-3 gl trans 7c	4.089	4.398	0.893	52.372	14.315	1.424	8.071	2.499	11.686	0.254	100	5.513
HUD110-1 gl trans-4c	4.646	4.021	0.739	52.422	16.102	1.176	8.265	2.167	10.306	0.156	100	5.822
HUD110-3 gl tachy 1c	4.241	2.867	1.277	52.479	14.556	1.423	10.202	2.638	10.112	0.203	100	5.664
HUD110-1 gl trans-1e	4.249	3.966	0.799	52.496	13.952	1.426	7.592	2.549	12.809	0.162	100	5.675
HUD110-1 gl trans-4e	4.223	4.510	0.759	52.510	15.265	1.228	8.335	2.240	10.678	0.251	100	5.451
HUD110-1 gl trans-4b	4.025	4.380	0.653	52.526	15.425	1.261	8.426	2.139	11.066	0.099	100	5.286
HUD110-1 gl trans-4f	4.111	4.539	0.730	52.544	15.202	1.275	7.969	2.307	11.131	0.191	100	5.385
HUD110-1 gl tachy-3c	3.887	3.953	0.839	52.559	14.223	1.204	8.528	2.339	12.260	0.208	100	5.091
HUD110-2 gl trans-1b	4.260	4.467	0.877	52.569	14.009	1.504	7.852	2.534	11.694	0.235	100	5.764
HUD110-1 trans 1b	3.659	3.997	1.087	52.591	14.101	1.519	7.799	2.752	12.383	0.113	100	5.177
HUD110-1 gl trans-3d	4.250	4.221	0.779	52.592	15.708	1.152	8.208	2.306	10.705	0.079	100	5.402
HUD110-1 gl trans-1f	4.266	4.141	0.896	52.612	13.959	1.409	7.761	2.581	12.088	0.289	100	5.674
HUD110-3 gl trans 2	4.505	4.024	0.953	52.616	13.805	1.522	7.681	2.681	11.965	0.250	100	6.026
HUD110-3 gl tachy 3a	4.062	3.783	0.903	52.621	15.043	2.152	7.770	2.517	10.798	0.352	100	6.214
HUD110-1 gl trans-4g	3.959	4.458	0.688	52.627	15.231	1.329	8.352	2.316	10.869	0.172	100	5.289
HUD110-1 gl trans-1b	4.492	3.998	0.907	52.640	13.811	1.550	7.768	2.610	12.093	0.131	100	6.042
HUD110-1 gl tachy-2b	3.956	2.952	0.551	52.645	19.194	0.805	9.446	1.800	8.573	0.078	100	4.761
HUD110-1 gl trans-3b	4.202	4.307	0.772	52.685	15.610	1.294	7.947	2.235	10.693	0.255	100	5.496
HUD110-3 gl trans 1	4.155	4.440	0.814	52.713	15.268	1.313	8.113	2.106	10.910	0.168	100	5.468
HUD110-1 gl trans-5b	4.026	4.418	0.772	52.720	15.574	1.004	8.624	2.220	10.422	0.221	100	5.030
HUD110-3 gl trans 7	4.448	4.244	0.916	52.734	14.321	1.405	7.989	2.740	11.094	0.110	100	5.853
HUD110-1 gl trans-1c	4.269	3.912	0.870	52.773	13.830	1.455	7.861	2.565	12.108	0.359	100	5.724
