Descrip.	Na2O  	MgO   	P2O5  	SiO2  	Al2O3 	K2O   	CaO   	TiO2  	FeO   	MnO   	Cr2O3	Total	Na2O+K2O
HUD207B-transgl-1	5.931	2.112	0.467	61.255	16.129	2.294	4.337	1.357	5.891	0.227	0.0	100	8.225
HUD207B-transgl-2	6.114	2.256	0.451	60.455	16.091	2.189	4.645	1.344	6.255	0.200	0.0	100	8.303
HUD207B-transgl-3	6.249	1.998	0.438	61.741	16.077	2.497	3.974	1.314	5.493	0.218	0.0	100	8.746
HUD207B-transgl-4	7.116	1.625	0.371	62.300	15.858	2.399	3.440	1.253	5.465	0.173	0.0	100	9.515
HUD207B-transgl-5	6.582	1.714	0.435	62.693	16.241	2.387	3.397	1.212	5.065	0.275	0.0	100	8.970
HUD207B-transgl-6	6.038	1.932	0.448	63.007	16.135	2.381	3.401	1.399	4.940	0.321	0.0	100	8.419
HUD208A-transgl-1	6.832	1.505	0.295	63.142	16.426	2.337	3.113	1.225	4.978	0.146	0.0	100	9.169
HUD208A-transgl-2	6.757	1.651	0.423	62.496	16.297	2.374	3.561	1.189	5.086	0.166	0.0	100	9.131
HUD208A-transgl-3	6.519	1.591	0.374	62.984	16.368	2.493	3.436	1.382	4.753	0.101	0.0	100	9.012
HUD208A-transgl-4	6.841	1.580	0.323	62.740	16.109	2.494	3.328	1.194	5.150	0.241	0.0	100	9.336
HUD208A-transgl-5	6.559	1.669	0.416	62.784	16.470	2.406	3.326	1.118	4.995	0.259	0.0	100	8.964
HUD-208B-mixedgl-1	6.935	1.412	0.440	63.131	16.138	2.621	2.851	1.220	5.088	0.162	0.0	100	9.556
HUD-208B-mixedgl-2	6.886	1.454	0.341	62.661	16.292	2.631	3.319	1.140	5.025	0.251	0.0	100	9.517
HUD-208B-mixedgl-4	6.310	1.549	0.362	63.035	16.494	2.583	3.358	1.155	5.034	0.123	0.0	100	8.892
HUD-208B-transgl-1	6.372	1.460	0.369	63.419	16.268	2.553	3.177	1.110	5.020	0.252	0.0	100	8.924
HUD-208B-transgl-2	6.880	1.490	0.427	62.258	16.130	2.682	3.556	1.331	5.077	0.167	0.0	100	9.562
HUD-208B-transgl-3	6.959	1.388	0.388	63.380	16.181	2.612	2.930	1.171	4.862	0.129	0.0	100	9.571
HUD209A-transgl-2	6.984	1.523	0.359	63.179	16.021	2.683	3.135	1.314	4.563	0.239	0.0	100	9.667
HUD209A-transgl-3	6.692	1.566	0.385	63.578	16.356	2.369	3.240	1.113	4.581	0.120	0.0	100	9.060
HUD209A-transgl-7	6.346	1.530	0.389	62.877	16.438	2.608	3.252	1.227	5.115	0.218	0.0	100	8.954
HUD209A-transgl-11	6.620	1.525	0.334	63.543	16.144	2.402	3.372	1.252	4.569	0.239	0.0	100	9.022
HUD209A-transgl-12	6.890	1.529	0.406	63.158	15.990	2.685	3.314	1.200	4.694	0.133	0.0	100	9.576
HUD209A-transgl-14	7.180	1.505	0.349	62.893	16.171	2.626	3.138	1.285	4.721	0.132	0.0	100	9.806
HUD209A-transgl-15	6.697	1.522	0.351	63.321	16.119	2.678	3.338	1.169	4.678	0.127	0.0	100	9.374
HUD209A-transgl-16	6.580	1.523	0.271	62.928	16.413	2.638	3.332	1.229	4.880	0.206	0.0	100	9.218
HUD-209B-transgl-1	6.490	1.499	0.385	63.486	16.287	2.666	3.136	1.113	4.782	0.155	0.0	100	9.156
HUD-209B-transgl-2	6.872	1.178	0.307	64.828	16.258	2.728	2.577	1.036	3.946	0.271	0.0	100	9.600
HUD-209B-transgl-4	6.613	1.546	0.352	63.302	16.277	2.611	2.983	1.116	5.002	0.200	0.0	100	9.224
HUD-209B-mixedgl-1	6.698	1.228	0.240	64.306	16.439	2.547	2.807	1.097	4.470	0.169	0.0	100	9.245
HUD-209B-mixedgl-2	7.095	1.214	0.304	64.021	16.285	2.629	2.782	1.019	4.458	0.193	0.0	100	9.724	
HUD-209B-mixedgl-3	6.471	1.180	0.274	64.491	16.530	2.729	2.746	0.988	4.474	0.117	0.0	100	9.200	
HUD-209B-mixedgl-4	6.955	1.318	0.290	64.000	16.187	2.517	2.791	1.066	4.607	0.270	0.0	100	9.472	
HUD-210B-tachygl2	6.218	2.079	0.575	60.891	15.561	2.444	4.499	1.453	6.072	0.207	0.0	100	8.662	
HUD-210B-tachygl4	6.137	2.286	0.550	60.331	15.973	2.052	4.751	1.436	6.265	0.219	0.0	100	8.190	
HUD-210B-tachygl5	6.196	2.048	0.647	60.498	15.818	2.134	4.169	1.483	6.833	0.174	0.0	100	8.330	
HUD-210B-tachygl6	7.273	1.451	0.540	62.800	16.208	2.124	3.206	1.242	4.983	0.173	0.0	100	9.397	
HUD-210B-transgl1	6.479	1.588	0.398	62.801	15.916	3.106	3.124	1.254	5.177	0.156	0.0	100	9.586
HUD-210B-transgl2	6.047	1.521	0.357	63.108	15.982	3.244	3.134	1.227	5.155	0.226	0.0	100	9.291
HUD-210B-transgl3	5.926	1.557	0.350	62.583	16.225	3.296	3.323	1.246	5.345	0.149	0.0	100	9.222
HUD-210B-transgl4	6.282	1.900	0.562	62.043	15.992	2.344	4.106	1.379	5.302	0.090	0.0	100	8.626
