Descrip.	Na2O  	MgO   	P2O5  	SiO2  	Al2O3 	K2O   	CaO   	TiO2  	FeO   	MnO   	Total	Na2O+K2O
HUD207B-inclus-1	7.058	1.590	0.459	63.147	15.752	3.078	2.401	1.169	5.191	0.156	100	10.136
HUD207B-inclus-1b	6.439	1.571	0.417	63.507	15.971	3.137	2.685	1.282	4.819	0.172	100	9.576
HUD207B-inclus-2b	6.330	1.613	0.499	62.620	16.089	3.052	2.983	1.391	5.226	0.197	100	9.382
HUD207B-inclus-2c	6.407	1.610	0.485	62.610	16.195	3.020	2.672	1.294	5.436	0.272	100	9.427
HUD207B-inclus-3	6.675	1.524	0.375	63.344	16.263	2.948	2.758	1.225	4.655	0.232	100	9.623
HUD207B-inclus-3c	6.738	1.512	0.436	63.002	16.250	2.919	2.835	1.267	4.864	0.177	100	9.657
HUD207B-inclus-4	6.763	1.364	0.335	64.478	15.982	2.828	2.674	1.256	4.109	0.211	100	9.591
HUD207B-inclus-4b	6.863	1.376	0.455	64.405	15.879	2.842	2.631	1.186	4.194	0.170	100	9.704
HUD207B-inclus-5	6.386	1.474	0.388	64.474	15.905	2.808	2.551	1.176	4.668	0.171	100	9.194
HUD208A-inclus-3	6.409	1.490	0.321	63.616	16.107	2.687	3.059	1.163	5.059	0.088	100	9.097
HUD208A-inclus-3b	6.484	1.482	0.364	63.651	16.484	2.576	2.954	1.093	4.777	0.135	100	9.061
HUD208A-inclus-3c	6.549	1.404	0.358	63.687	16.490	2.710	3.136	1.129	4.373	0.164	100	9.258
HUD208A-inclus-4	6.714	1.336	0.274	63.858	16.585	2.350	3.381	0.995	4.454	0.054	100	9.064
HUD208A-inclus-5	6.588	1.353	0.289	63.503	16.258	2.767	3.051	0.978	4.963	0.250	100	9.355
HUD208A-inclus-5b	6.654	1.357	0.288	63.514	16.012	2.696	3.019	0.942	5.341	0.177	100	9.350
HUD208A-inclus-5c	6.263	1.366	0.349	63.332	16.122	2.649	3.111	1.026	5.568	0.215	100	8.911
HUD209.MI.1-1	6.380	1.472	0	63.475	16.079	1.946	3.406	1.131	5.867	0.244	100	8.326
HUD209.MI.1-2	5.838	1.544	0	63.827	16.238	2.189	3.067	1.154	6.010	0.134	100	8.027
HUD209.MI.1-3	6.743	1.493	0	63.079	15.595	2.192	3.212	1.291	6.078	0.316	100	8.934
HUD209.MI.2-1	6.287	1.433	0	63.471	16.475	2.477	3.273	1.195	5.155	0.233	100	8.764
HUD209.MI.2-2	6.637	1.361	0	63.546	16.410	2.371	3.387	1.079	4.950	0.259	100	9.008
HUD209.MI.3-1	6.848	1.376	0	63.335	16.236	2.499	3.007	1.403	5.165	0.133	100	9.346
HUD209.MI.4-1	6.572	1.532	0	63.499	16.308	2.238	3.102	1.165	5.451	0.134	100	8.809
HUD209.MI.4-2	6.022	1.767	0	64.029	16.089	2.547	3.155	1.258	5.033	0.100	100	8.569
HUD209.MI.5-1	6.305	1.177	0	64.300	16.544	2.551	2.943	1.210	4.816	0.154	100	8.856
HUD209.MI.5-2	6.158	1.207	0	64.236	16.318	2.546	3.036	1.235	5.111	0.154	100	8.703
HUD209.MI.6-1	6.408	1.310	0	64.226	16.708	2.218	3.078	1.067	4.792	0.193	100	8.626
HUD209.MI.6-2	6.040	1.195	0	63.781	17.259	2.376	3.274	0.918	4.871	0.286	100	8.415
HUD209.MI.7-1	6.571	1.516	0	63.295	16.235	2.468	2.990	1.210	5.476	0.240	100	9.039
HUD209.MI.7-2	6.760	1.485	0	63.282	16.341	2.325	3.031	1.353	5.129	0.294	100	9.085
HUD210.MI.2-1	7.205	0.756	0	64.970	16.826	2.800	2.123	1.199	4.028	0.094	100	10.005
HUD210.MI.2-2	6.679	0.824	0	63.514	17.904	2.880	2.037	1.278	4.797	0.088	100	9.559
HUD210.MI.3-1	6.551	0.771	0	64.092	17.996	2.686	1.790	1.415	4.578	0.121	100	9.237
HUD210.MI.4-1	7.018	0.786	0	65.174	16.907	2.694	1.912	1.236	3.992	0.280	100	9.712
HUD210.MI.5-1	6.463	0.964	0	63.566	17.919	2.510	2.053	1.349	5.006	0.170	100	8.973
HUD210.MI.5-2	6.478	1.042	0	64.383	16.554	2.878	2.102	1.198	5.176	0.187	100	9.356
HUD210.MI.6-1.bleb	6.666	0.861	0	62.638	19.048	2.515	2.313	1.317	4.508	0.134	100	9.181
HUD210.MI.6-2.bleb	6.592	0.952	0	63.099	18.264	2.817	2.180	1.341	4.494	0.260	100	9.409
HUD210.MI.6-3.bleb	6.740	0.884	0	63.864	17.766	2.602	2.153	1.179	4.691	0.121	100	9.342
HUD210.MI.7-1.bleb	6.698	0.770	0	62.437	19.669	2.521	2.008	1.172	4.536	0.188	100	9.219
HUD210.MI.7-2.bleb	6.492	0.860	0	63.990	18.020	2.692	1.968	1.178	4.598	0.202	100	9.184
HUD210.MI.7-3.bleb	5.016	3.624	0	57.573	19.949	1.824	5.487	1.015	5.347	0.164	100	6.840
HUD210.MI.8-1.bleb	6.565	1.062	0	63.714	16.958	2.903	1.979	1.246	5.393	0.180	100	9.468
HUD210.MI.8-2.bleb	6.720	1.069	0	64.416	16.654	2.656	1.874	1.246	5.184	0.181	100	9.376
HUD210.MI.8-3.bleb	6.833	0.944	0	63.914	17.205	2.798	1.818	1.202	5.073	0.213	100	9.631
HUD210.MI.9-1.bleb	6.591	1.171	0	63.842	16.444	2.693	2.402	1.164	5.364	0.331	100	9.284
HUD210.MI.9-2.bleb	6.630	1.206	0	63.874	16.361	2.827	2.371	1.342	5.235	0.154	100	9.457
HUD210.MI.9-3.bleb	6.687	0.991	0	64.060	17.086	2.714	2.047	1.142	5.031	0.241	100	9.401
HUD210.MI.10-1	6.499	1.029	0	64.626	16.637	2.631	2.097	1.164	5.063	0.254	100	9.130
HUD210.MI.10-2	6.603	0.946	0	64.153	17.451	2.674	2.032	1.043	4.848	0.250	100	9.277
HUD210.MI.10-3	6.079	1.102	0	63.992	17.573	2.734	2.115	1.086	4.976	0.344	100	8.812
HUD210.MI.11-1	7.406	0.509	0	63.924	17.710	2.455	3.591	0.854	3.386	0.164	100	9.861
HUD210.MI.11-3	7.240	0.445	0	64.373	17.664	2.437	3.458	0.999	3.376	0.007	100	9.677
