"Descrip.","Na2O  ","MgO   ","P2O5  ","SiO2  ","Al2O3 ","K2O   ","CaO   ","TiO2  ","FeO   ","MnO   ","Total"
"1991-P2-MG-1",6.038,2.191,0.544,61.606,15.638,2.100,4.593,1.499,5.527,0.265,100.0
"1991-P2-MG-2",6.218,2.079,0.575,60.891,15.561,2.444,4.499,1.453,6.072,0.207,100.0
"1991-P2-MG-3",6.137,2.286,0.550,60.331,15.973,2.052,4.751,1.436,6.265,0.219,100.0
"1991-P2-MG-4",6.196,2.048,0.647,60.498,15.818,2.134,4.169,1.483,6.833,0.174,100.0
"1991-P2-MG-5",7.273,1.451,0.540,62.800,16.208,2.124,3.206,1.242,4.983,0.173,100.0
"1991-P2-MG-6",7.058,1.590,0.459,63.147,15.752,3.078,2.401,1.169,5.191,0.156,100.0
"1991-P2-MG-7",6.439,1.571,0.417,63.507,15.971,3.137,2.685,1.282,4.819,0.172,100.0
"1991-P2-MG-8",6.330,1.613,0.499,62.620,16.089,3.052,2.983,1.391,5.226,0.197,100.0
"1991-P2-MG-9",6.407,1.610,0.485,62.610,16.195,3.020,2.672,1.294,5.436,0.272,100.0
"1991-P2-MG-10",6.675,1.524,0.375,63.344,16.263,2.948,2.758,1.225,4.655,0.232,100.0
"1991-P2-MG-11",6.738,1.512,0.436,63.002,16.250,2.919,2.835,1.267,4.864,0.177,100.0
"1991-P2-MG-12",6.763,1.364,0.335,64.478,15.982,2.828,2.674,1.256,4.109,0.211,100.0
"1991-P2-MG-13",6.863,1.376,0.455,64.405,15.879,2.842,2.631,1.186,4.194,0.170,100.0
"1991-P2-MG-14",6.386,1.474,0.388,64.474,15.905,2.808,2.551,1.176,4.668,0.171,100.0
"1991-P2-MG-15",6.479,1.588,0.398,62.801,15.916,3.106,3.124,1.254,5.177,0.156,100.0
"1991-P2-MG-16",6.047,1.521,0.357,63.108,15.982,3.244,3.134,1.227,5.155,0.226,100.0
"1991-P2-MG-17",5.926,1.557,0.350,62.583,16.225,3.296,3.323,1.246,5.345,0.149,100.0
"1991-P2-MG-18",6.282,1.900,0.562,62.043,15.992,2.344,4.106,1.379,5.302,0.090,100.0
"1991-P2-MG-19",6.372,1.460,0.369,63.419,16.268,2.553,3.177,1.110,5.020,0.252,100.0
"1991-P2-MG-20",6.880,1.490,0.427,62.258,16.130,2.682,3.556,1.331,5.077,0.167,100.0
"1991-P2-MG-21",6.959,1.388,0.388,63.380,16.181,2.612,2.930,1.171,4.862,0.129,100.0
"1991-P2-MG-22",6.490,1.499,0.385,63.486,16.287,2.666,3.136,1.113,4.782,0.155,100.0
"1991-P2-MG-23",6.872,1.178,0.307,64.828,16.258,2.728,2.577,1.036,3.946,0.271,100.0
"1991-P2-MG-24",6.613,1.546,0.352,63.302,16.277,2.611,2.983,1.116,5.002,0.200,100.0
"1991-P2-MG-25",5.931,2.112,0.467,61.255,16.129,2.294,4.337,1.357,5.891,0.227,100.0
"1991-P2-MG-26",6.114,2.256,0.451,60.455,16.091,2.189,4.645,1.344,6.255,0.200,100.0
"1991-P2-MG-27",6.249,1.998,0.438,61.741,16.077,2.497,3.974,1.314,5.493,0.218,100.0
"1991-P2-MG-28",7.116,1.625,0.371,62.300,15.858,2.399,3.440,1.253,5.465,0.173,100.0
"1991-P2-MG-29",6.582,1.714,0.435,62.693,16.241,2.387,3.397,1.212,5.065,0.275,100.0
"1991-P2-MG-30",6.038,1.932,0.448,63.007,16.135,2.381,3.401,1.399,4.940,0.321,100.0
"1991-P2-MG-31",6.935,1.412,0.440,63.131,16.138,2.621,2.851,1.220,5.088,0.162,100.0
"1991-P2-MG-32",6.886,1.454,0.341,62.661,16.292,2.631,3.319,1.140,5.025,0.251,100.0
"1991-P2-MG-33",6.310,1.549,0.362,63.035,16.494,2.583,3.358,1.155,5.034,0.123,100.0
"1991-P2-MG-34",6.698,1.228,0.240,64.306,16.439,2.547,2.807,1.097,4.470,0.169,100.0
"1991-P2-MG-35",7.095,1.214,0.304,64.021,16.285,2.629,2.782,1.019,4.458,0.193,100.0
"1991-P2-MG-36",6.471,1.180,0.274,64.491,16.530,2.729,2.746,0.988,4.474,0.117,100.0
"1991-P2-MG-37",6.955,1.318,0.290,64.000,16.187,2.517,2.791,1.066,4.607,0.270,100.0
"1991-P2-MG-38",6.984,1.523,0.359,63.179,16.021,2.683,3.135,1.314,4.563,0.239,100.0
"1991-P2-MG-39",6.692,1.566,0.385,63.578,16.356,2.369,3.240,1.113,4.581,0.120,100.0
