"Descrip.","Na2O  ","MgO   ","P2O5  ","SiO2  ","Al2O3 ","K2O   ","CaO   ","TiO2  ","FeO   ","MnO   ","Total"
"6700-MG-1",6.9347,1.4282,0.3338,63.5299,15.7475,2.7722,3.0021,1.2468,4.8116,0.1933,100.0
"6700-MG-2",6.2889,1.5294,0.3815,63.3118,15.9977,2.7037,3.1837,1.2890,5.1726,0.1416,100.0
"6700-MG-3",6.1887,1.3741,0.3655,64.0028,15.9944,2.9293,2.8648,1.0810,4.9922,0.2073,100.0
"6700-MG-4",6.2076,1.4366,0.3711,64.2811,15.7214,2.7143,2.8163,1.1915,5.0036,0.2566,100.0
"6700-MG-5",6.4858,1.4766,0.3542,63.4183,15.7162,2.8396,3.2648,1.2491,5.1118,0.0837,100.0
"6700-MG-6",6.3194,1.6700,0.2704,63.6088,15.5763,2.6804,3.2421,1.2694,5.2237,0.1395,100.0
"6700-MG-7",6.1294,1.6087,0.3228,64.1994,15.6086,2.6645,3.1230,1.3378,4.8056,0.2001,100.0
"6700-MG-8",6.4462,1.5784,0.3822,63.6369,15.6826,2.6914,3.2211,1.3011,4.8550,0.2050,100.0
"6700-MG-9",6.2464,1.4555,0.3149,63.8755,15.9538,2.8227,3.0372,1.2850,4.7888,0.2202,100.0
"6700-MG-10",6.4156,1.4556,0.3222,64.4710,15.4689,2.6011,3.2910,1.2078,4.6397,0.1271,100.0
"6700-MG-11",6.6093,1.4116,0.4487,63.5789,15.8074,2.7273,3.2307,1.2316,4.7492,0.2051,100.0
"6700-MG-12",6.2933,1.4698,0.3207,63.7728,15.6143,2.7643,3.2344,1.3079,5.0714,0.1512,100.0
"6700-MG-13",6.5813,1.5976,0.3386,63.3059,15.7507,2.6747,3.1277,1.4238,4.9020,0.2978,100.0
"6700-MG-14",6.4061,1.3833,0.3331,64.1171,15.5284,2.7247,2.9558,1.2125,5.1462,0.1929,100.0
"6700-MG-15",6.4060,1.5216,0.3699,63.5227,15.6846,2.7917,3.2398,1.1943,5.1424,0.1269,100.0
"6700-MG-16",6.5455,1.4447,0.3554,63.6755,15.7272,2.4812,3.0525,1.1878,5.2895,0.2406,100.0
"6700-MG-17",6.5940,1.4482,0.3549,64.1352,15.5558,2.9225,2.7906,1.2467,4.7006,0.2516,100.0
"6700-MG-18",6.7847,1.3046,0.3463,64.0205,15.5763,2.8273,2.8961,1.2555,4.7367,0.2520,100.0
"6700-MG-19",6.0223,1.5895,0.3814,63.6674,15.9894,2.6076,3.2280,1.0369,5.2251,0.2525,100.0
"6700-MG-20",6.2857,1.5077,0.4006,63.1847,15.7785,2.7320,3.3368,1.2599,5.3141,0.2000,100.0
"6700-MG-21",6.1808,1.5528,0.3320,63.6217,15.9145,2.4895,3.1531,1.2018,5.3216,0.2323,100.0
"6700-MG-22",6.2301,1.3679,0.3262,64.7900,15.6763,2.8253,2.8014,1.1183,4.6950,0.1695,100.0
"6700-MG-23",6.7651,1.2951,0.3321,64.4664,15.7187,2.7449,2.8855,1.0845,4.5192,0.1884,100.0
"6700-MG-24",6.5806,1.4974,0.3705,63.6501,15.6360,2.7255,2.8328,1.2586,5.1585,0.2902,100.0
"6700-MG-25",6.7090,1.4348,0.3607,63.6691,15.7457,2.7867,3.0237,1.2705,4.8110,0.1888,100.0
"6700-MG-26",6.4408,1.4218,0.3547,64.1013,15.6450,2.8336,2.8896,1.2960,4.9028,0.1144,100.0
"6700-MG-27",6.3761,1.5191,0.3388,64.0503,15.6923,2.6354,3.0423,1.1779,4.9956,0.1722,100.0
"6700-MG-28",6.6318,1.5301,0.3957,63.4145,16.0108,2.9222,2.8967,1.2783,4.7232,0.1966,100.0
"6700-MG-29",6.4611,1.4812,0.4178,63.3231,16.1601,2.8664,2.9295,1.1499,5.0006,0.2103,100.0
"6700-MG-30",6.5105,1.2148,0.2496,65.2556,15.6824,3.0237,2.7588,1.1140,4.1907,0.0000,100.0
"6700-MG-31",6.4721,1.2472,0.2743,65.6820,15.7496,2.8080,2.4268,1.0019,4.1134,0.2246,100.0
"6700-MG-32",6.6863,1.2064,0.2372,64.8108,15.5856,2.8760,2.7486,1.1716,4.4971,0.1803,100.0
"6700-MG-33",6.8627,1.2399,0.2817,64.7624,15.5381,2.8587,2.8258,1.2590,4.2681,0.1036,100.0
"6700-MG-34",6.4663,1.1957,0.2804,65.2106,15.2483,2.8702,2.6871,1.2281,4.6071,0.2063,100.0
"6700-MG-35",6.0693,1.2766,0.3099,65.0962,15.5229,2.9390,2.7691,1.2587,4.6152,0.1431,100.0
"6700-MG-36",6.5479,1.2605,0.2681,64.7757,15.6755,2.8634,2.5913,1.2119,4.5783,0.2273,100.0
"6700-MG-37",6.2840,1.3214,0.2829,64.9697,15.5674,2.8182,2.7438,1.1011,4.7680,0.1436,100.0
"6700-MG-38",6.7347,1.2111,0.2916,65.0315,15.6428,2.9229,2.7943,0.9301,4.2466,0.1943,100.0
"6700-MG-39",6.4706,1.1901,0.2403,65.7340,15.6239,2.9076,2.3289,1.1071,4.1307,0.2668,100.0
"6700-MG-40",6.0501,1.1486,0.2957,65.1457,16.0772,3.0838,2.6012,1.0951,4.2974,0.2053,100.0
"6700-MG-41",5.9424,1.1698,0.3016,65.2373,15.6951,3.1117,2.5740,1.2041,4.6858,0.0783,100.0
"6700-MG-42",6.2826,1.1434,0.2943,65.4328,15.7318,3.0697,2.5894,1.0901,4.1615,0.2043,100.0
"6700-MG-43",6.1712,1.1645,0.3002,65.5300,15.3591,3.0977,2.5625,1.1987,4.5380,0.0780,100.0
"6700-MG-44",6.6246,0.8834,0.2311,66.8946,15.4510,3.0737,2.0936,1.0126,3.5656,0.1697,100.0
"6700-MG-45",6.2722,0.9135,0.2553,66.4834,15.6481,3.1458,2.3554,1.0775,3.7697,0.0792,100.0
"6700-MG-46",6.3805,0.9424,0.2764,66.4666,15.5411,3.0204,2.3541,1.0554,3.8839,0.0792,100.0
"6700-MG-47",6.5037,1.0052,0.2698,65.9568,15.7654,3.0823,2.2492,1.0487,3.9815,0.1375,100.0
"6700-MG-48",6.2874,1.0019,0.2820,66.3738,15.5060,3.0322,2.4714,1.0882,3.8525,0.1046,100.0
"6700-MG-49",6.3119,0.9489,0.2618,66.5518,15.6918,2.8996,2.2788,1.0641,3.8818,0.1096,100.0
