"Descrip.","Na2O  ","MgO   ","P2O5  ","SiO2  ","Al2O3 ","K2O   ","CaO   ","TiO2  ","FeO   ","MnO   ","Total"
"LBA-MG-1",6.730,1.733,0.404,62.866,15.764,2.242,3.569,1.277,5.155,0.260," 100.00 "
"LBA-MG-2",6.655,1.460,0.354,62.867,16.102,2.626,3.101,1.132,5.507,0.197," 100.00 "
"LBA-MG-3",6.668,1.370,0.311,63.970,15.727,2.639,2.860,1.130,5.033,0.293," 100.00 "
"LBA-MG-4",6.534,1.465,0.391,63.290,16.167,2.845,3.024,1.241,4.756,0.287," 100.00 "
"LBA-MG-5",6.823,1.498,0.377,62.683,16.297,2.578,3.194,1.129,5.161,0.262," 100.00 "
"LBA-MG-6",6.567,1.612,0.406,62.624,16.196,2.505,3.280,1.227,5.354,0.229," 100.00 "
"LBA-MG-7",6.389,1.566,0.387,63.231,15.991,2.515,3.276,1.239,5.136,0.268," 100.00 "
"LBA-MG-8",6.530,1.665,0.420,62.451,16.071,2.383,3.619,1.196,5.446,0.220," 100.00 "
"LBA-MG-9",6.419,1.610,0.342,63.330,16.141,2.493,3.272,1.225,4.892,0.277," 100.00 "
"LBA-MG-10",6.598,1.564,0.343,62.748,16.214,2.476,3.292,1.161,5.349,0.253," 100.00 "
